x,y,i,j,z,k,grid_k,ZONES,ACTNUM
639822,6866075,3,0,-19.6817,131331,3,0,0
639822,6866075,3,0,-73.9814,262659,3,0,0
639822,6866075,3,0,-128.281,393987,3,0,0
639822,6866075,3,0,-128.281,525315,3,0,0
639822,6866075,3,0,-182.581,656643,3,0,0
639847,6866075,4,0,34.6049,4,4,0,0
639847,6866075,4,0,-19.6925,131332,4,0,0
639847,6866075,4,0,-73.99,262660,4,0,0
639847,6866075,4,0,-128.288,393988,4,0,0
639847,6866075,4,0,-128.288,525316,4,0,0
639847,6866075,4,0,-182.585,656644,4,0,0
639871,6866075,5,0,34.5881,5,5,0,0
639871,6866075,5,0,-19.7066,131333,5,0,0
639871,6866075,5,0,-74.0013,262661,5,0,0
639871,6866075,5,0,-128.296,393989,5,0,0
639871,6866075,5,0,-128.296,525317,5,0,0
639871,6866075,5,0,-182.591,656645,5,0,0
639896,6866075,6,0,34.5672,6,6,0,0
639896,6866075,6,0,-19.7239,131334,6,0,0
